formattedAxisTime,formattedValue
"Mar 1, 2014",11.591
"Mar 2, 2014",11.203
"Mar 3, 2014",10.886
"Mar 4, 2014",10.701
"Mar 5, 2014",10.63
"Mar 6, 2014",10.377
"Mar 7, 2014",10.37
"Mar 8, 2014",10.605
"Mar 9, 2014",10.497
"Mar 10, 2014",10.706
"Mar 11, 2014",10.328
"Mar 12, 2014",20
"Mar 13, 2014",10.131
"Mar 14, 2014",9.834
"Mar 15, 2014",9.643
"Mar 16, 2014",9.449
"Mar 17, 2014",9.059
"Mar 18, 2014",9.505
"Mar 19, 2014",9.386
"Mar 20, 2014",9.045
"Mar 21, 2014",8.695
"Mar 22, 2014",8.525
"Mar 23, 2014",8.552
"Mar 24, 2014",8.983
"Mar 25, 2014",9.376
"Mar 26, 2014",9.205
"Mar 27, 2014",9.083
"Mar 28, 2014",8.925
"Mar 29, 2014",8.753
"Mar 30, 2014",8.53
